locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old)
1738240,Zuri Food Facilities,Truck,141000,02ND ST: STILLMAN ST to BRYANT ST (454 - 499),490 02ND ST,3763007,3763,7,23MFF-00035,APPROVED,Peruvian Food Served Hot,6014337.512,2113125.58,37.783046099750000,-122.39406659923000,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00035&ExportPDF=1&Filename=23MFF-00035_schedule.pdf,,,11/15/2023 12:00:00 AM,20231103,0,11/15/2024 12:00:00 AM,"(37.783046099749996, -122.39406659922962)",6,2,9,28856,6
1735062,"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",Truck,1428000,25TH ST: ALABAMA ST to HARRISON ST (3042 - 3099),3065 25TH ST,4271038,4271,38,23MFF-00032,APPROVED,Tacos: burritos: soda & juice,6009084.78,2101536.437,37.7509316476402,-122.4114199662060,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00032&ExportPDF=1&Filename=23MFF-00032_schedule.pdf,,,10/26/2023 12:00:00 AM,20231019,1,11/15/2024 12:00:00 AM,"(37.7509316476402, -122.4114199662057)",2,4,7,28859,19
1343454,Esmeli Catering,Truck,7022000,HOOPER ST: 07TH ST to 08TH ST (100 - 199),Assessors Block /Lot,,,,19MFF-00110,REQUESTED,tacos: burritos: quesadilla: tortas sodas,,,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00110&ExportPDF=1&Filename=19MFF-00110_schedule.pdf,,,,20190731,0,,"(0.0, 0.0)",,,,,
963998,Singh Brothers Ice Cream,Truck,10327000,PENINSULA AVE: BLANKEN AVE to LATHROP AVE (300 - 399),360 PENINSULA AVE,5083009,5083,9,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,6012192.793,2086872.475,37.7108412835853,-122.39964261496300,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0182&ExportPDF=1&Filename=17MFF-0182_schedule.pdf,Mo-Fr:5PM-6PM,,,20170418,1,03/15/2018 12:00:00 AM,"(37.7108412835853, -122.39964261496316)",10,3,8,309,1
1750909,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",Push Cart,24892000,STOCKTON ST: 04TH ST \ ELLIS ST \ MARKET ST intersection,800 MARKET ST,329001,329,1,23MFF-00055,APPROVED,Soft pretzels: hot dogs: sausages: chips: popcorn: sodea: coffee: espresso: cappucino: pastries: ice cream: Italian sausages: shish-ka-bob: churros: juice: water: various drinks.,6010729.654,2114081.536,37.785469746489900,-122.40661576107300,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00055&ExportPDF=1&Filename=23MFF-00055_schedule.pdf,,,01/26/2024 12:00:00 AM,20231229,1,11/15/2024 12:00:00 AM,"(37.785469746489916, -122.40661576107294)",14,10,10,28852,6
1591826,Cochinita,Truck,3079000,BRANNAN ST: ZOE ST to 04TH ST (440 - 499),490 BRANNAN ST,3776025,3776,25,22MFF-00021,EXPIRED,Mexican Food: Yucatan Food: Street Food,6013619.641,2111616.7,37.778863135500200,-122.39644435935800,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00021&ExportPDF=1&Filename=22MFF-00021_schedule.pdf,,,03/22/2022 12:00:00 AM,20220126,1,11/15/2022 12:00:00 AM,"(37.778863135500174, -122.39644435935813)",6,2,9,28856,34
1735063,"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",Truck,5683000,FOLSOM ST: 11TH ST to NORFOLK ST (1500 - 1548),1501 FOLSOM ST,3521058,3521,58,23MFF-00032,APPROVED,Tacos: burritos: soda & juice,6008490.781,2109071.076,37.771586702670300,-122.41400704302400,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00032&ExportPDF=1&Filename=23MFF-00032_schedule.pdf,,,10/26/2023 12:00:00 AM,20231019,1,11/15/2024 12:00:00 AM,"(37.771586702670334, -122.41400704302406)",8,2,9,28853,19
1733786,MOMO INNOVATION LLC,Truck,3420000,BUSH ST: BATTERY ST to SANSOME ST (100 - 199),1 BUSH ST,290011,290,11,23MFF-00028,APPROVED,Noodles,6012652.373,2116027.943,37.79092150726920,-122.4001004237390,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00028&ExportPDF=1&Filename=23MFF-00028_schedule.pdf,,,10/18/2023 12:00:00 AM,20231017,0,11/15/2024 12:00:00 AM,"(37.79092150726921, -122.4001004237385)",4,1,10,28854,6
1733612,Buenafe,Truck,9199000,MISSISSIPPI ST: 07TH ST \ 16TH ST to 17TH ST (1 - 99),901 16TH ST,3949001,3949,1,23MFF-00026,APPROVED,Tacos burritos quesadillas tortas pupusas flautas tamales,6013806.356,2106973.63,37.76612469442700,-122.39547306227000,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=23MFF-00026&ExportPDF=1&Filename=23MFF-00026_schedule.pdf,,,10/18/2023 12:00:00 AM,20231013,0,11/15/2024 12:00:00 AM,"(37.76612469442701, -122.39547306227007)",14,3,8,28856,20
1332947,Mini Mobile Food Catering,Truck,7740000,KANSAS ST: CESAR CHAVEZ ST to MARIN ST (1600 - 1699),Assessors Block 4341/Lot001,4341001,4341,1,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6011939.508,2100756.7,37.748950363427100,-122.40149318970800,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00041&ExportPDF=1&Filename=19MFF-00041_schedule.pdf,,,06/26/2019 12:00:00 AM,20190626,1,01/15/2021 12:00:00 AM,"(37.748950363427056, -122.40149318970822)",10,3,8,58,1
